orf_id,transcript,gene,is_canonical,classification,orf_class,chromosome,coor1,coor2,strand
orf1047,chr1_57083,NA,noncanonical,other,None,chrI,57083,57250,+
orf1944,chr1_57138,NA,noncanonical,other,None,chrI,57138,57437,+
orf3207,chr1_57488,YAL045C,noncanonical,denovo,Dubious,chrI,57488,57796,-
orf1050,chr1_57518,YAL044W-A,canonical,conserved,Verified,chrI,57518,57850,+
orf4048,chr1_57898,NA,noncanonical,other,None,chrI,57898,57960,-
orf3205,chr1_57950,YAL044C,canonical,conserved,Verified,chrI,57950,58483,-
orf5076,chr1_5862,NA,noncanonical,other,None,chrI,5862,6002,-
orf4871,chr1_58695,YAL043C,canonical,conserved,Verified,chrI,58695,61052,-
orf4031,chr1_61231,YAL042C-A,noncanonical,other,Dubious,chrI,61231,61608,-
orf1067,chr1_61316,YAL042W,canonical,conserved,Verified,chrI,61316,62563,+
orf1069,chr1_62840,YAL041W,canonical,conserved,Verified,chrI,62840,65404,+
orf4850,chr1_65634,NA,noncanonical,denovo,None,chrI,65634,65705,-
orf4849,chr1_65715,NA,noncanonical,other,None,chrI,65715,65762,-
orf4848,chr1_65778,YAL040C,canonical,conserved,Verified,chrI,65778,67520,-
orf247,chr1_67378,NA,noncanonical,denovo,None,chrI,67378,67668,+
orf4012,chr1_67849,NA,noncanonical,denovo,None,chrI,67849,68070,-
orf4008,chr1_68716,YAL039C,canonical,conserved,Verified,chrI,68716,69525,-
orf1088,chr1_69047,NA,noncanonical,other,None,chrI,69047,69505,+
orf4006,chr1_69952,NA,noncanonical,denovo,None,chrI,69952,70068,-
orf3172,chr1_70040,NA,noncanonical,denovo,None,chrI,70040,70234,-
orf259,chr1_70339,NA,noncanonical,denovo,None,chrI,70339,70434,+
orf1997,chr1_70557,NA,noncanonical,denovo,None,chrI,70557,70682,+
orf261,chr1_70657,NA,noncanonical,denovo,None,chrI,70657,70770,+
orf1095,chr1_71786,YAL038W,canonical,conserved,Verified,chrI,71786,73288,+
orf3372,chr1_7235,YAL067C,canonical,conserved,Verified,chrI,7235,9016,-
orf268,chr1_73357,NA,noncanonical,other,None,chrI,73357,73392,+
orf1097,chr1_73442,NA,noncanonical,denovo,None,chrI,73442,73612,+
orf2012,chr1_73686,NA,noncanonical,denovo,None,chrI,73686,73778,+
orf272,chr1_74020,YAL037W,canonical,conserved,Uncharacterized,chrI,74020,74823,+
orf4827,chr1_74580,NA,noncanonical,denovo,None,chrI,74580,74840,-
orf3982,chr1_75043,YAL036C,canonical,conserved,Verified,chrI,75043,76152,-
orf1109,chr1_76427,YAL035W,canonical,conserved,Verified,chrI,76427,79435,+
orf1111,chr1_79718,YAL034W-A,canonical,conserved,Verified,chrI,79718,80587,+
orf1112,chr1_80606,NA,noncanonical,denovo,None,chrI,80606,80689,+
orf3967,chr1_80710,YAL034C,canonical,conserved,Verified,chrI,80710,82101,-
orf42,chr1_8152,NA,noncanonical,other,None,chrI,8152,8310,+
orf4793,chr1_82353,NA,noncanonical,denovo,None,chrI,82353,82418,-
orf3140,chr1_82430,NA,noncanonical,denovo,None,chrI,82430,82501,-
orf1122,chr1_82706,YAL033W,canonical,conserved,Verified,chrI,82706,83227,+
orf3958,chr1_83335,YAL032C,canonical,conserved,Verified,chrI,83335,84474,-
orf3134,chr1_84749,YAL031C,canonical,conserved,Verified,chrI,84749,87031,-
NA,chr1_87286,YAL030W,canonical,conserved,Verified,chrI,87286,87752,+
orf3128,chr1_87497,NA,noncanonical,other,None,chrI,87497,87730,-
orf4777,chr1_87855,YAL029C,canonical,conserved,Verified,chrI,87855,92270,-
orf1160,chr1_92900,YAL028W,canonical,conserved,Verified,chrI,92900,94486,+
orf335,chr1_94687,YAL027W,canonical,conserved,Verified,chrI,94687,95472,+
orf1782,chr1_9546,NA,noncanonical,denovo,None,chrI,9546,9617,+
orf3074,chr1_95630,YAL026C,canonical,conserved,Verified,chrI,95630,99697,-
orf142321,chr10_101150,YJL170C,canonical,conserved,Verified,chrX,101150,101794,-
orf134926,chr10_102099,YJL169W,noncanonical,denovo,Dubious,chrX,102099,102467,+
orf142320,chr10_102227,YJL168C,canonical,conserved,Verified,chrX,102227,104428,-
orf129148,chr10_104911,NA,noncanonical,other,None,chrX,104911,105036,+
orf132197,chr10_105014,YJL167W,canonical,conserved,Verified,chrX,105014,106072,+
orf134948,chr10_106434,YJL166W,canonical,conserved,Verified,chrX,106434,106718,+
orf139473,chr10_106611,NA,noncanonical,other,None,chrX,106611,106730,-
orf145070,chr10_106894,YJL165C,canonical,conserved,Verified,chrX,106894,109461,-
orf142310,chr10_109811,NA,noncanonical,other,None,chrX,109811,109966,-
orf145068,chr10_109966,YJL164C,canonical,conserved,Verified,chrX,109966,111159,-
orf132220,chr10_111638,NA,noncanonical,other,None,chrX,111638,111757,+
orf139438,chr10_111666,YJL163C,canonical,conserved,Uncharacterized,chrX,111666,113333,-
orf129175,chr10_111721,NA,noncanonical,other,None,chrX,111721,112077,+
orf129180,chr10_112822,NA,noncanonical,other,None,chrX,112822,112983,+
orf134978,chr10_113115,NA,noncanonical,other,None,chrX,113115,113279,+
orf145057,chr10_113878,YJL162C,canonical,conserved,Verified,chrX,113878,115629,-
orf134603,chr10_11475,YJL222W,canonical,conserved,Verified,chrX,11475,16124,+
orf139421,chr10_116106,NA,noncanonical,denovo,None,chrX,116106,116297,-
orf139419,chr10_116886,NA,noncanonical,denovo,None,chrX,116886,116960,-
orf145050,chr10_116968,NA,noncanonical,denovo,None,chrX,116968,117051,-
orf132240,chr10_116999,NA,noncanonical,denovo,None,chrX,116999,117127,+
orf132242,chr10_117245,YJL161W,canonical,conserved,Uncharacterized,chrX,117245,117787,+
orf142279,chr10_117962,YJL160C,canonical,conserved,Uncharacterized,chrX,117962,118825,-
orf132254,chr10_120449,YJL159W,canonical,conserved,Verified,chrX,120449,121690,+
orf142275,chr10_121991,NA,noncanonical,denovo,None,chrX,121991,122089,-
orf139403,chr10_122118,NA,noncanonical,other,None,chrX,122118,122180,-
orf139402,chr10_122265,YJL158C,canonical,conserved,Verified,chrX,122265,122948,-
orf142267,chr10_123836,YJL157C,canonical,conserved,Verified,chrX,123836,126328,-
orf132263,chr10_124154,NA,noncanonical,other,None,chrX,124154,124252,+
orf132269,chr10_125165,NA,noncanonical,denovo,None,chrX,125165,125251,+
orf145000,chr10_126853,YJL156C,canonical,conserved,Verified,chrX,126853,128952,-
orf129241,chr10_128809,NA,noncanonical,other,None,chrX,128809,128934,+
orf139371,chr10_129285,YJL155C,canonical,conserved,Verified,chrX,129285,130643,-
orf142246,chr10_131009,NA,noncanonical,denovo,None,chrX,131009,131074,-
orf144994,chr10_131101,YJL154C,canonical,conserved,Verified,chrX,131101,133935,-
orf144992,chr10_134332,YJL153C,canonical,conserved,Verified,chrX,134332,135999,-
orf144988,chr10_136372,YJL151C,canonical,conserved,Verified,chrX,136372,136773,-
orf135060,chr10_136449,NA,noncanonical,other,None,chrX,136449,136589,+
orf132312,chr10_136586,NA,noncanonical,other,None,chrX,136586,136732,+
orf139329,chr10_136848,NA,noncanonical,denovo,None,chrX,136848,136997,-
orf132313,chr10_137123,YJL150W,noncanonical,other,Dubious,chrX,137123,137425,+
orf135062,chr10_137379,YJL149W,canonical,conserved,Verified,chrX,137379,139370,+
orf139314,chr10_139971,NA,noncanonical,denovo,None,chrX,139971,140072,-
orf129289,chr10_140437,YJL148W,canonical,conserved,Verified,chrX,140437,141138,+
orf132326,chr10_141179,NA,noncanonical,denovo,None,chrX,141179,141229,+
orf142212,chr10_141218,NA,noncanonical,denovo,None,chrX,141218,141382,-
orf142211,chr10_141419,YJL147C,canonical,conserved,Uncharacterized,chrX,141419,142567,-
orf129295,chr10_142744,NA,noncanonical,denovo,None,chrX,142744,142971,+
orf135072,chr10_143292,YJL146W,canonical,conserved,Verified,chrX,143292,144701,+
orf144954,chr10_144742,NA,noncanonical,denovo,None,chrX,144742,144801,-
orf129307,chr10_144850,NA,noncanonical,denovo,None,chrX,144850,144900,+
orf132340,chr10_145160,YJL145W,canonical,conserved,Verified,chrX,145160,146044,+
orf129312,chr10_146359,YJL144W,canonical,conserved,Verified,chrX,146359,146673,+
orf142197,chr10_146714,NA,noncanonical,denovo,None,chrX,146714,146914,-
orf132345,chr10_147101,YJL143W,canonical,conserved,Verified,chrX,147101,147577,+
orf144944,chr10_147112,NA,noncanonical,other,None,chrX,147112,147378,-
orf132346,chr10_147593,NA,noncanonical,denovo,None,chrX,147593,147670,+
orf129317,chr10_147736,NA,noncanonical,denovo,None,chrX,147736,147930,+
orf144942,chr10_147967,YJL141C,canonical,conserved,Verified,chrX,147967,150390,-
orf144940,chr10_150460,NA,noncanonical,denovo,None,chrX,150460,150564,-
orf129326,chr10_150961,YJL140W,canonical,conserved,Verified,chrX,150961,151626,+
orf139269,chr10_151713,YJL139C,canonical,conserved,Verified,chrX,151713,152999,-
orf139266,chr10_153384,NA,noncanonical,other,None,chrX,153384,153446,-
orf139265,chr10_153504,YJL138C,canonical,conserved,Verified,chrX,153504,154691,-
orf139264,chr10_154923,NA,noncanonical,other,None,chrX,154923,154985,-
orf142162,chr10_154985,YJL137C,canonical,conserved,Verified,chrX,154985,156127,-
NA,chr10_156550,YJL136C,canonical,conserved,Verified,chrX,156550,157273,-
orf132396,chr10_157877,YJL135W,noncanonical,other,Dubious,chrX,157877,158194,+
orf129363,chr10_158188,YJL134W,canonical,conserved,Verified,chrX,158188,159417,+
orf142146,chr10_159479,NA,noncanonical,denovo,None,chrX,159479,159583,-
orf142145,chr10_159623,YJL133C-A,canonical,conserved,Uncharacterized,chrX,159623,159847,-
orf139245,chr10_160275,NA,noncanonical,denovo,None,chrX,160275,160472,-
orf132408,chr10_160619,YJL133W,canonical,conserved,Verified,chrX,160619,161563,+
orf135136,chr10_161616,NA,noncanonical,denovo,None,chrX,161616,161756,+
orf129376,chr10_161914,YJL132W,canonical,conserved,Uncharacterized,chrX,161914,164166,+
orf144882,chr10_164278,YJL131C,canonical,conserved,Verified,chrX,164278,165348,-
orf139213,chr10_165723,YJL130C,canonical,conserved,Verified,chrX,165723,172367,-
orf139211,chr10_172638,NA,noncanonical,denovo,None,chrX,172638,172718,-
orf132474,chr10_173114,NA,noncanonical,denovo,None,chrX,173114,173413,+
orf144863,chr10_173599,YJL129C,canonical,conserved,Verified,chrX,173599,177306,-
orf142064,chr10_177518,NA,noncanonical,denovo,None,chrX,177518,177595,-
orf144862,chr10_177553,NA,noncanonical,denovo,None,chrX,177553,177849,-
orf139189,chr10_177945,NA,noncanonical,denovo,None,chrX,177945,178019,-
orf142061,chr10_178097,YJL128C,canonical,conserved,Verified,chrX,178097,180103,-
orf142059,chr10_181079,NA,noncanonical,denovo,None,chrX,181079,181183,-
orf135208,chr10_181446,NA,noncanonical,denovo,None,chrX,181446,181580,+
orf139179,chr10_181551,YJL127C-B,canonical,conserved,Uncharacterized,chrX,181551,181709,-
orf139177,chr10_182298,YJL127C,canonical,conserved,Verified,chrX,182298,184220,-
orf129466,chr10_184501,YJL126W,canonical,conserved,Verified,chrX,184501,185424,+
orf142027,chr10_185528,YJL125C,canonical,conserved,Verified,chrX,185528,186679,-
orf129478,chr10_187099,NA,noncanonical,other,None,chrX,187099,187311,+
orf144817,chr10_187126,YJL124C,canonical,conserved,Verified,chrX,187126,187644,-
orf144816,chr10_187828,NA,noncanonical,denovo,None,chrX,187828,187971,-
orf139162,chr10_188004,YJL123C,canonical,conserved,Verified,chrX,188004,189440,-
orf132546,chr10_189716,YJL122W,canonical,conserved,Verified,chrX,189716,190243,+
orf135249,chr10_190275,NA,noncanonical,denovo,None,chrX,190275,190382,+
orf139158,chr10_190374,YJL121C,canonical,conserved,Verified,chrX,190374,191090,-
orf144803,chr10_191572,YJL119C,noncanonical,denovo,Dubious,chrX,191572,191895,-
orf132550,chr10_191639,YJL118W,canonical,conserved,Verified,chrX,191639,192298,+
orf142004,chr10_191924,NA,noncanonical,other,None,chrX,191924,192109,-
orf132551,chr10_192353,NA,noncanonical,denovo,None,chrX,192353,192517,+
orf135259,chr10_192531,YJL117W,canonical,conserved,Verified,chrX,192531,193466,+
orf132555,chr10_193586,NA,noncanonical,denovo,None,chrX,193586,193621,+
orf139146,chr10_193716,NA,noncanonical,denovo,None,chrX,193716,193835,-
orf139145,chr10_193860,YJL116C,canonical,conserved,Verified,chrX,193860,194873,-
orf135262,chr10_194901,NA,noncanonical,other,None,chrX,194901,194981,+
orf134615,chr10_19497,YJL219W,canonical,conserved,Verified,chrX,19497,21200,+
orf144785,chr10_195394,NA,noncanonical,other,None,chrX,195394,195549,-
orf129515,chr10_195934,NA,noncanonical,other,None,chrX,195934,196038,+
orf135266,chr10_196287,YJL115W,canonical,conserved,Verified,chrX,196287,197126,+
orf132574,chr10_197915,YJL114W,canonical,conserved,transposable_element_gene,chrX,197915,198595,+
orf129542,chr10_205120,NA,noncanonical,other,None,chrX,205120,205218,+
orf135299,chr10_205305,YJL112W,canonical,conserved,Verified,chrX,205305,207449,+
orf129568,chr10_207877,YJL111W,canonical,conserved,Verified,chrX,207877,209529,+
orf135305,chr10_209547,NA,noncanonical,denovo,None,chrX,209547,209621,+
orf139092,chr10_209922,YJL110C,canonical,conserved,Verified,chrX,209922,211577,-
orf141918,chr10_212000,YJL109C,canonical,conserved,Verified,chrX,212000,217309,-
orf135315,chr10_212112,NA,noncanonical,other,None,chrX,212112,212351,+
orf144673,chr10_217705,YJL108C,canonical,conserved,Verified,chrX,217705,218856,-
orf139074,chr10_218853,YJL107C,canonical,conserved,Uncharacterized,chrX,218853,220016,-
orf129605,chr10_219631,NA,noncanonical,other,None,chrX,219631,219948,+
orf128881,chr10_21973,YJL218W,canonical,conserved,Uncharacterized,chrX,21973,22563,+
orf132689,chr10_220607,NA,noncanonical,denovo,None,chrX,220607,220699,+
orf129608,chr10_220693,NA,noncanonical,denovo,None,chrX,220693,220761,+
orf135353,chr10_220833,NA,noncanonical,denovo,None,chrX,220833,220901,+
orf132692,chr10_221390,YJL106W,canonical,conserved,Verified,chrX,221390,223327,+
orf135375,chr10_224712,NA,noncanonical,denovo,None,chrX,224712,224912,+
orf129622,chr10_225055,YJL105W,canonical,conserved,Verified,chrX,225055,226737,+
orf139040,chr10_226272,NA,noncanonical,other,None,chrX,226272,226667,-
orf141868,chr10_226706,NA,noncanonical,denovo,None,chrX,226706,226843,-
orf139036,chr10_226986,NA,noncanonical,denovo,None,chrX,226986,227054,-
orf132712,chr10_227327,YJL104W,canonical,conserved,Verified,chrX,227327,227776,+
orf139031,chr10_227583,NA,noncanonical,denovo,None,chrX,227583,227795,-
orf135383,chr10_228066,NA,noncanonical,other,None,chrX,228066,228182,+
orf141862,chr10_228845,NA,noncanonical,denovo,None,chrX,228845,228985,-
orf141861,chr10_229025,YJL103C,canonical,conserved,Verified,chrX,229025,230881,-
orf135387,chr10_229434,NA,noncanonical,denovo,None,chrX,229434,229727,+
orf129644,chr10_231301,YJL102W,canonical,conserved,Verified,chrX,231301,233760,+
orf134622,chr10_23133,YJL217W,canonical,conserved,Verified,chrX,23133,23729,+
orf139015,chr10_234261,NA,noncanonical,other,None,chrX,234261,234326,-
orf141851,chr10_234320,YJL101C,canonical,conserved,Verified,chrX,234320,236356,-
orf132769,chr10_236912,NA,noncanonical,denovo,None,chrX,236912,237010,+
orf132770,chr10_237263,YJL100W,canonical,conserved,Verified,chrX,237263,239086,+
orf131825,chr10_23816,NA,noncanonical,other,None,chrX,23816,23929,+
orf132771,chr10_239414,YJL099W,canonical,conserved,Verified,chrX,239414,241654,+
orf135443,chr10_241815,NA,noncanonical,denovo,None,chrX,241815,241904,+
orf135445,chr10_242082,YJL098W,canonical,conserved,Verified,chrX,242082,245258,+
orf142580,chr10_24341,YJL216C,canonical,conserved,Verified,chrX,24341,26086,-
orf132777,chr10_245591,YJL097W,canonical,conserved,Verified,chrX,245591,246244,+
orf129702,chr10_246301,YJL096W,canonical,conserved,Verified,chrX,246301,246975,+
orf129704,chr10_247255,YJL095W,canonical,conserved,Verified,chrX,247255,251691,+
orf144534,chr10_251821,YJL094C,canonical,conserved,Verified,chrX,251821,254442,-
orf141767,chr10_254621,NA,noncanonical,denovo,None,chrX,254621,254686,-
orf144532,chr10_254737,YJL093C,canonical,conserved,Verified,chrX,254737,256812,-
